A_KEY_TIME_MEAN,BOTH_DEV_CC_COUNT,GAP_D1,GAP_D5,GAP_SD,KEY_COUNT,KEY_TIME,MANY_KEYS_BY_KEY_PRESSED,MOUSE_COUNT,MOUSE_DDIR_D1,MOUSE_DDIR_D2,MOUSE_DDIR_D3,MOUSE_DIR_D1,MOUSE_DIR_D5,MOUSE_DIR_D6,MOUSE_DIST_D1,MOUSE_DIST_D2,MOUSE_DIST_D3,MOUSE_DIST_D4,MOUSE_DIST_D5,MOUSE_DIST_D6,MOUSE_DIST_D7,MOUSE_GAP_D1,MOUSE_GAP_D2,MOUSE_GAP_D3,MOUSE_SPEED_D1,MOUSE_SPEED_D2,MOUSE_SPEED_D3,MOUSE_SPEED_D5,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_DOWN_D1,MULTIPLE_KEYS_UP,MULTIPLE_KEYS_UP_D1
0.106,0.0,0.023,0.089,1.634,89.0,0.1,0.213,57,0.241,0.031,0.301,17.071,119.82,120.466,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.108,0.0,0.017,0.089,1.476,114.0,0.3,0.211,66,0.212,0.027,0.327,28.244,119.82,120.466,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.107,0.0,0.017,0.083,1.326,143.0,0.1,0.28,73,0.188,0.046,0.325,28.244,119.82,120.466,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.106,0.0,0.017,0.081,1.245,171.0,0.1,0.345,82,0.169,0.066,0.319,28.244,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.001,0.001,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.106,0.0,0.02,0.083,1.284,189.0,0.4,0.397,84,0.169,0.066,0.319,28.244,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.001,0.001,0.001,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.106,0.0,0.017,0.086,1.199,220.0,0.1,0.341,87,0.164,0.064,0.34,28.244,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
0.106,0.0,0.018,0.087,1.192,237.0,0.2,0.316,93,0.153,0.06,0.338,28.244,113.523,121.218,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.001,0.001,0.001,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.104,0.0,0.017,0.087,1.107,277.0,0.1,0.271,96,0.149,0.058,0.357,28.244,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.104,0.0,0.017,0.087,1.106,296.0,0.2,0.253,102,0.14,0.071,0.336,28.244,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
0.104,0.0,0.017,0.088,1.045,333.0,0.1,0.225,105,0.137,0.069,0.351,71.565,113.523,119.82,0.0,0.0,0.0,0.0,0.0,0.0,67.186,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
