KEY_GAP_TIME_D8,MULTIPLE_KEYS_DOWN_D6,MOUSE_SPEED_D8,MOUSE_DIR_D8,MOUSE_GAP_D5,MOUSE_GAP_D4,MOUSE_SPEED_D4,MOUSE_DDIR_D2,MOUSE_SPEED_D4,MOUSE_GAP_D9,KEY_COUNT,MULTIPLE_KEYS_UP_D1,KEY_TIME,KEY_TIME,MULTIPLE_KEYS_UP,MOUSE_GAP_D3,MANY_KEYS_BY_KEY_PRESSED,MOUSE_DIR_D5,MOUSE_DIR_D5,MOUSE_DIST_D6,GAP_SD,MOUSE_DIST_D5,MOUSE_DIST_D5,MOUSE_GAP_D3,KEY_TIME_D9,MOUSE_GAP_D1,MOUSE_SPEED_D5,MOUSE_DIR_D1,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_UP_D7
0.439,1.0,24.837,253.686,0.11,0.1,0.0,0.031,0.0,3.656,89.0,0.0,0.1,0.1,0.0,0.001,0.213,119.82,119.82,0.0,1.634,0.0,0.0,0.001,0.151,0.0,0.0,17.071,1.0,2.0
0.439,1.0,24.837,253.686,0.11,0.1,0.0,0.027,0.0,4.798,114.0,0.0,0.3,0.3,1.0,0.001,0.211,119.82,119.82,0.0,1.476,0.0,0.0,0.001,0.151,0.0,0.0,28.244,0.0,3.0
0.439,1.0,24.837,261.254,0.119,0.1,0.0,0.046,0.0,4.798,143.0,0.0,0.1,0.1,0.0,0.001,0.28,119.82,119.82,0.0,1.326,0.0,0.0,0.001,0.151,0.0,0.0,28.244,1.0,3.0
0.439,1.0,24.837,261.254,0.119,0.1,0.0,0.066,0.0,4.798,171.0,0.0,0.1,0.1,0.0,0.001,0.345,113.523,113.523,0.0,1.245,0.0,0.0,0.001,0.151,0.001,0.0,28.244,1.0,3.0
0.439,1.0,24.837,261.254,0.119,0.1,0.0,0.066,0.0,4.798,189.0,0.0,0.4,0.4,0.0,0.001,0.397,113.523,113.523,0.0,1.284,0.0,0.0,0.001,0.152,0.001,0.0,28.244,3.0,3.0
0.439,2.0,20.95,261.254,0.119,0.1,0.0,0.064,0.0,4.798,220.0,0.0,0.1,0.1,1.0,0.001,0.341,113.523,113.523,0.0,1.199,0.0,0.0,0.001,0.152,0.0,0.0,28.244,4.0,3.0
0.439,2.0,24.837,261.254,0.12,0.1,0.0,0.06,0.0,4.798,237.0,0.0,0.2,0.2,0.0,0.001,0.316,113.523,113.523,0.0,1.192,0.0,0.0,0.001,0.152,0.001,0.0,28.244,3.0,3.0
0.439,2.0,24.837,261.254,0.119,0.1,0.0,0.058,0.0,4.81,277.0,0.0,0.1,0.1,0.0,0.001,0.271,113.523,113.523,0.0,1.107,0.0,0.0,0.001,0.152,0.0,0.0,28.244,3.0,3.0
0.439,2.0,20.95,261.254,0.12,0.1,0.0,0.071,0.0,4.967,296.0,0.0,0.2,0.2,1.0,0.001,0.253,113.523,113.523,0.0,1.106,0.0,0.0,0.001,0.152,0.001,0.0,28.244,3.0,3.0
0.342,2.0,20.95,261.254,0.12,0.1,0.0,0.069,0.0,4.998,333.0,0.0,0.1,0.1,2.0,0.001,0.225,113.523,113.523,0.0,1.045,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,2.0,19.208,261.254,0.121,0.1,0.0,0.08,0.0,6.92,362.0,0.0,0.1,0.1,0.0,0.001,0.207,113.523,113.523,0.0,1.015,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,2.0,20.95,263.29,0.12,0.1,0.0,0.091,0.0,4.998,390.0,0.0,0.1,0.1,0.0,0.001,0.192,113.523,113.523,0.0,0.982,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,2.0,20.95,263.29,0.12,0.1,0.0,0.084,0.0,6.046,418.0,0.0,0.1,0.1,0.0,0.001,0.179,113.523,113.523,0.0,0.961,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,2.0,24.837,263.29,0.12,0.1,0.0,0.079,0.0,6.046,446.0,0.0,0.1,0.1,0.0,0.001,0.168,113.523,113.523,0.0,0.942,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,2.0,20.95,263.29,0.12,0.1,0.0,0.076,0.0,6.148,479.0,0.0,0.1,0.1,2.0,0.001,0.157,111.682,111.682,0.0,0.958,0.0,0.0,0.001,0.151,0.0,0.0,71.565,3.0,3.0
0.336,3.0,24.837,263.29,0.12,0.1,0.0,0.081,0.0,6.046,498.0,0.0,0.1,0.1,0.0,0.001,0.151,111.682,111.682,0.0,0.957,0.0,0.0,0.001,0.151,0.0,0.0,71.565,2.0,3.0
0.336,3.0,24.837,263.29,0.12,0.1,0.0,0.082,0.0,4.998,521.0,0.0,0.1,0.1,0.0,0.001,0.144,111.523,111.523,0.0,0.949,0.0,0.0,0.001,0.151,0.0,0.0,51.34,2.0,3.0
0.336,3.0,24.837,263.29,0.119,0.1,0.0,0.089,0.0,4.998,538.0,0.0,0.1,0.1,0.0,0.001,0.139,111.682,111.682,0.0,0.949,0.0,0.0,0.001,0.151,0.0,0.0,61.26,3.0,3.0
0.336,3.0,24.837,263.29,0.12,0.1,0.0,0.097,0.0,6.148,581.0,0.0,0.1,0.1,0.0,0.001,0.129,111.682,111.682,0.0,0.914,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.336,3.0,24.837,265.403,0.119,0.1,0.0,0.092,0.0,4.998,604.0,0.0,0.1,0.1,3.0,0.001,0.124,111.682,111.682,0.0,0.91,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,265.403,0.119,0.1,0.0,0.093,0.0,4.998,630.0,0.0,0.1,0.1,0.0,0.001,0.119,111.682,111.682,0.0,0.903,0.0,0.0,0.001,0.151,0.0,0.0,61.26,3.0,3.0
0.298,3.0,24.837,273.18,0.12,0.1,0.0,0.098,0.0,4.998,667.0,0.0,0.1,0.1,0.0,0.001,0.112,111.682,111.682,0.0,0.879,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,271.685,0.12,0.1,0.0,0.095,0.0,4.998,712.0,0.0,0.1,0.1,2.0,0.001,0.105,111.682,111.682,0.0,0.864,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,273.18,0.12,0.1,0.0,0.098,0.0,4.998,739.0,0.0,0.1,0.1,0.0,0.001,0.101,111.682,111.682,0.0,0.857,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,271.685,0.12,0.1,0.0,0.101,0.0,4.998,789.0,0.0,0.1,0.1,0.0,0.001,0.095,111.682,111.682,0.0,0.832,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,273.18,0.12,0.1,0.0,0.097,0.0,4.998,797.0,0.0,0.1,0.1,0.0,0.001,0.094,111.682,111.682,0.0,0.851,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.278,3.0,24.837,271.685,0.12,0.1,0.0,0.104,0.0,5.051,847.0,0.0,0.1,0.1,0.0,0.001,0.089,111.682,111.682,0.0,0.827,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.298,3.0,24.837,273.18,0.12,0.1,0.0,0.101,0.0,5.051,866.0,0.0,0.1,0.1,0.0,0.001,0.095,111.682,111.682,0.0,0.83,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.278,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.051,920.0,0.0,0.1,0.1,2.0,0.001,0.137,111.682,111.682,0.0,0.806,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.278,3.0,24.837,273.18,0.12,0.1,0.0,0.102,0.0,5.051,949.0,0.0,0.1,0.1,2.0,0.001,0.156,111.682,111.682,0.0,0.801,0.0,0.0,0.001,0.148,0.0,0.0,61.26,1.0,3.0
0.278,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.761,1002.0,1.0,0.1,0.1,2.0,0.001,0.188,111.682,111.682,0.0,0.782,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.278,3.0,24.837,277.326,0.119,0.1,0.0,0.102,0.0,5.104,1025.0,1.0,0.1,0.1,0.0,0.001,0.199,111.682,111.682,0.0,0.782,0.0,0.0,0.001,0.148,0.0,0.0,61.504,2.0,3.0
0.278,3.0,24.837,273.18,0.119,0.1,0.0,0.102,0.0,5.761,1068.0,1.0,0.0,0.0,1.0,0.001,0.191,111.682,111.682,0.0,0.768,0.0,0.0,0.001,0.148,0.0,0.0,61.504,3.0,3.0
0.265,3.0,24.837,273.18,0.119,0.1,0.0,0.097,0.0,5.761,1101.0,1.0,0.1,0.1,0.0,0.001,0.185,111.682,111.682,0.0,0.757,0.0,0.0,0.001,0.148,0.0,0.0,61.504,2.0,3.0
0.265,3.0,19.124,273.18,0.119,0.1,0.0,0.095,0.0,5.104,1135.0,1.0,0.1,0.1,3.0,0.001,0.197,111.682,111.682,0.0,0.759,0.0,0.0,0.001,0.148,0.0,0.0,61.504,2.0,3.0
0.265,3.0,24.837,273.18,0.119,0.1,0.0,0.098,0.0,5.761,1157.0,1.0,0.1,0.1,3.0,0.001,0.199,111.682,111.682,0.0,0.759,0.0,0.0,0.001,0.148,0.0,0.0,61.504,2.0,3.0
0.265,3.0,24.837,273.18,0.119,0.1,0.0,0.102,0.0,5.104,1182.0,1.0,0.1,0.1,0.0,0.001,0.195,111.682,111.682,0.0,0.752,0.0,0.0,0.001,0.148,0.0,0.0,61.26,2.0,3.0
0.265,3.0,24.837,273.18,0.119,0.1,0.0,0.107,0.0,5.051,1229.0,1.0,0.1,0.1,0.0,0.001,0.187,111.682,111.682,0.0,0.747,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.265,3.0,24.837,273.18,0.119,0.1,0.0,0.104,0.0,5.051,1251.0,1.0,0.1,0.1,3.0,0.001,0.184,111.682,111.682,0.0,0.75,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.104,0.0,5.051,1274.0,1.0,0.1,0.1,0.0,0.001,0.181,111.682,111.682,0.0,0.744,0.0,0.0,0.001,0.151,0.0,0.0,61.26,2.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.102,0.0,5.051,1304.0,1.0,0.1,0.1,0.0,0.001,0.191,111.682,111.682,0.0,11.965,0.0,0.0,0.001,0.151,0.0,0.0,58.496,1.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.051,1322.0,1.0,0.1,0.1,0.0,0.001,0.2,111.682,111.682,0.0,11.888,0.0,0.0,0.001,0.151,0.0,0.0,58.496,3.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.102,0.0,5.051,1354.0,1.0,0.1,0.1,0.0,0.001,0.211,111.682,111.682,0.0,11.743,0.0,0.0,0.001,0.151,0.0,0.0,58.496,1.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.055,1379.0,1.0,0.1,0.1,3.0,0.001,0.22,111.682,111.682,0.0,11.638,0.0,0.0,0.001,0.151,0.0,0.0,58.496,2.0,3.0
0.265,3.0,24.837,273.18,0.121,0.1,0.0,0.097,0.0,5.051,1404.0,1.0,0.1,0.1,0.0,0.001,0.229,111.682,111.682,0.0,11.534,0.0,0.0,0.001,0.151,0.0,0.0,53.973,2.0,3.0
