removed_group,n_columns,model,acc,tpr
A_KEY_TIME_MEAN,91,RandomForestClassifier(),0.9991168678245511,0.9991168678245511
BOTH_DEV_C_COUNT,91,RandomForestClassifier(),0.9991168678245511,0.9991168678245511
GAP,83,RandomForestClassifier(),0.9991168678245511,0.9991168678245511
GAP_SD,91,RandomForestClassifier(),0.9994112452163674,0.9994112452163674
KEY_COUNT,91,RandomForestClassifier(),0.9994112452163674,0.9994112452163674
KEY_GAP_TIME,83,RandomForestClassifier(),0.9988224904327347,0.9988224904327347
KEY_TIME,82,RandomForestClassifier(),0.9985281130409185,0.9985281130409185
KEY_TIME_MEAN,91,RandomForestClassifier(),0.9988224904327347,0.9988224904327347
MOUSE_COUNT,91,RandomForestClassifier(),0.9994112452163674,0.9994112452163674
MOUSE_DDIR,90,RandomForestClassifier(),0.9994112452163674,0.9994112452163674
MOUSE_DIR,83,RandomForestClassifier(),0.9988224904327347,0.9988224904327347
MOUSE_DIST,83,RandomForestClassifier(),0.9991168678245511,0.9991168678245511
MOUSE_GAP,83,RandomForestClassifier(),0.9988224904327347,0.9988224904327347
MOUSE_SPEED,83,RandomForestClassifier(),0.9991168678245511,0.9991168678245511
MULTIPLE_KEYS_DOWN,82,RandomForestClassifier(),0.9985281130409185,0.9985281130409185
MULTIPLE_KEYS_UP,82,RandomForestClassifier(),0.9988224904327347,0.9988224904327347
