model,acc,tpr
"KNeighborsClassifier(n_neighbors=3, weights='distance')",0.9411245216367383,0.9411245216367383
GaussianNB(),0.7877539005004416,0.7877539005004416
BernoulliNB(),0.25316455696202533,0.25316455696202533
ComplementNB(),0.05799234618781278,0.05799234618781278
MultinomialNB(),0.3085075066234913,0.3085075066234913
RandomForestClassifier(),0.9988224904327347,0.9988224904327347
LogisticRegression(),0.5189873417721519,0.5189873417721519
LinearDiscriminantAnalysis(),0.9034442154842508,0.9034442154842508
MLPClassifier(),0.9520164851339417,0.9520164851339417
GradientBoostingClassifier(),0.9788048277892258,0.9788048277892258
