model,acc,tpr,far,frr
"KNeighborsClassifier(n_neighbors=3, weights='distance')",0.9411245216367383,0.9411245216367383,0.057775651923017764,0.07339602478996514
GaussianNB(),0.7877539005004416,0.7877539005004416,0.10302269247294855,0.10075565609974355
BernoulliNB(),0.25316455696202533,0.25316455696202533,0.6288858338005848,0.801475074756294
ComplementNB(),0.05799234618781278,0.05799234618781278,0.7666458122698101,0.9724913806415919
MultinomialNB(),0.3085075066234913,0.3085075066234913,0.4876495394301283,0.5655929912130797
RandomForestClassifier(),0.9988224904327347,0.9988224904327347,0.0013718441859755166,0.006149691358024692
LogisticRegression(),0.5189873417721519,0.5189873417721519,0.3841278729749875,0.4529775070462969
LinearDiscriminantAnalysis(),0.9034442154842508,0.9034442154842508,0.06927488521608598,0.05663500379674829
MLPClassifier(),0.9116867824551075,0.9116867824551075,0.06665795499374152,0.08904182197198061
GradientBoostingClassifier(),0.979982337356491,0.979982337356491,0.018053781479013067,0.027671843440184727
